varying weight for high-tile-in-corner:
0:	6042
0.5:	3928
1:	3708
1.5:	4254
2:	2262
2.5:	5968
3:	3858
3.5:	3900
4:	4010
4.5:	2162
5:	2036
5.5:	3196

Another sample:
0:	2176

Another:
0:	3160	2048
0.25:	3240	2048
0.5:	3518	2048
0.75:	4156	2048
1:	4220	2048
1.25:	5240	4096
1.5:	3644	2048
1.75:	4186	2048
2:	3146	2048
2.25:	4138	2048
2.5:	3706	2048
2.75:	3120	2048
3:	3136	2048
3.25:	4066	2048
3.5:	5668	4096
3.75:	4134	2048
4:	3674	2048
4.25:	2026	1024
4.5:	2628	1024
4.75:	2188	1024
5:	3708	2048
5.25:	3192	2048
5.5:	6042	4096
5.75:	2202	1024
6:	3908	2048
6.25:	4290	2048
6.5:	4096	2048
6.75:	2104	1024
7:	3400	2048
7.25:	3546	2048
7.5:	1350	512
7.75:	2162	1024
8:	3184	2048
8.25:	4036	2048
8.5:	1688	1024
8.75:	3696	2048
9:	4192	2048
9.25:	5222	2048
9.5:	3136	2048
9.75:	3740	2048
